USRID	RST
18	0
23	0
30	1
31	0
32	0
38	0
55	0
72	0
75	0
80	0
90	0
113	0
121	0
130	0
131	0
134	0
137	1
149	0
160	0
168	0
177	0
178	1
189	0
191	0
211	0
214	0
219	0
229	0
237	0
239	0
245	0
253	1
259	1
276	0
279	0
285	0
314	0
319	0
320	0
325	0
332	0
347	0
353	1
369	0
373	0
381	1
407	0
421	0
425	0
428	0
446	0
450	0
471	1
474	0
480	0
487	0
508	0
513	0
517	0
526	0
529	0
532	0
539	0
547	0
555	0
590	0
601	0
606	1
617	0
645	0
669	0
696	0
699	0
723	0
728	1
731	0
738	0
745	1
751	0
753	0
766	0
767	0
773	1
776	0
780	0
782	1
794	0
795	0
797	0
801	1
804	0
806	0
810	0
819	1
841	0
842	0
843	0
845	1
846	0
869	0
872	0
889	0
896	1
903	0
937	0
942	0
953	0
983	0
984	0
987	0
993	1
1000	0
1006	1
1010	0
1020	0
1023	0
1043	0
1053	0
1074	0
1105	1
1112	1
1114	0
1116	0
1127	0
1128	0
1146	1
1153	0
1185	0
1206	1
1210	0
1214	0
1218	0
1226	0
1232	0
1251	0
1268	0
1279	0
1284	0
1291	1
1302	0
1303	0
1305	0
1311	0
1341	0
1366	1
1382	0
1386	0
1391	1
1394	1
1410	0
1411	0
1423	0
1424	1
1430	0
1435	0
1444	0
1454	0
1458	0
1490	0
1523	1
1529	0
1541	1
1557	0
1560	0
1572	0
1574	0
1575	0
1583	0
1585	0
1589	1
1603	1
1631	0
1643	0
1652	0
1654	0
1672	0
1691	0
1699	0
1711	0
1713	0
1714	0
1716	0
1718	0
1734	0
1735	1
1743	0
1757	0
1762	0
1783	0
1788	0
1806	1
1811	0
1828	0
1835	0
1849	0
1853	0
1856	1
1858	0
1860	1
1879	0
1908	0
1926	0
1927	1
1933	1
1951	0
1962	0
1969	0
1972	0
1979	0
1982	0
1985	0
1995	1
2005	0
2009	0
2021	0
2037	0
2038	0
2041	0
2048	0
2056	0
2065	0
2081	0
2090	0
2093	0
2131	1
2150	0
2151	0
2165	1
2168	1
2173	0
2189	0
2215	0
2243	0
2254	0
2268	0
2287	0
2296	0
2313	0
2327	0
2331	1
2356	0
2361	0
2373	1
2376	0
2398	1
2418	0
2421	1
2422	0
2434	0
2443	0
2462	0
2463	0
2465	0
2513	0
2518	0
2528	0
2531	0
2532	1
2548	1
2571	0
2588	0
2601	1
2615	0
2626	1
2627	0
2644	0
2657	0
2663	1
2666	0
2675	1
2687	0
2698	0
2705	1
2708	0
2726	0
2746	1
2764	0
2765	0
2766	0
2772	0
2784	0
2785	0
2788	0
2798	0
2804	0
2816	1
2820	0
2821	0
2829	0
2837	0
2842	0
2847	0
2849	0
2852	0
2854	0
2870	1
2875	0
2890	1
2898	1
2912	0
2920	0
2923	0
2937	0
2949	0
2968	0
2976	0
3027	0
3029	1
3056	0
3068	0
3078	0
3101	0
3106	0
3117	1
3118	0
3120	0
3121	0
3124	0
3136	0
3137	0
3189	1
3236	0
3247	0
3264	0
3266	0
3271	0
3275	0
3277	0
3315	0
3321	1
3344	0
3348	0
3351	0
3354	1
3357	0
3363	0
3366	1
3372	0
3374	1
3382	0
3392	1
3398	0
3417	0
3421	1
3431	0
3440	0
3452	0
3467	0
3477	0
3487	0
3491	1
3495	0
3497	0
3505	1
3516	1
3522	1
3567	0
3589	0
3591	1
3601	0
3612	0
3614	0
3620	0
3646	0
3655	0
3679	0
3692	0
3699	0
3712	0
3714	1
3718	0
3722	1
3760	0
3783	0
3802	0
3810	1
3812	0
3821	0
3838	1
3850	0
3881	1
3884	0
3895	0
3912	0
3920	0
3928	0
3949	0
3969	0
3992	0
3994	0
3999	0
4003	0
4011	0
4032	0
4039	0
4044	0
4057	0
4058	0
4060	0
4063	1
4065	0
4070	0
4089	0
4102	0
4123	0
4131	0
4147	0
4155	1
4159	0
4171	1
4173	1
4174	0
4176	1
4180	1
4181	0
4185	1
4205	0
4212	0
4213	1
4217	0
4219	0
4231	0
4239	1
4241	0
4263	0
4269	0
4284	0
4297	0
4299	1
4311	0
4316	1
4330	0
4332	0
4333	1
4349	0
4359	0
4368	0
4379	0
4399	0
4425	0
4431	0
4435	0
4447	1
4457	0
4458	1
4460	1
4469	0
4471	0
4472	0
4481	0
4489	0
4499	0
4508	0
4519	0
4529	0
4533	0
4536	0
4589	0
4602	0
4605	0
4608	0
4620	0
4652	0
4664	0
4692	0
4696	0
